initial_name,capacity,number_of_nodes,highest_dist,lowest_dist,mean_dist,median_dist,25th_dist,75th_dist,sd_dist,highest_demand,lowest_demand,mean_demand,median_demand,25th_demand,75th_demand,sd_demand,original_objective,10x_split_objective,rounded_split_objective,split_in_10x,split_in_rounded,num_of_10x_splits,num_of_rounded_splits,highest_split_distance_10x,highest_split_distance_rounded,split
p01_00_tsplib0_NORMALIZED,100,50,43.93176527,2.236067977,24.02347639,24.86931688,17.21915703,31.20836417,9.376170963,25,1,9.26,9,5.25,12.5,4.975178389,522.56,520.2,520.2,no,no,0,0,0,0,1
p01_1030_tsplib0_NORMALIZED,100,50,43.93176527,2.236067977,24.02347639,24.86931688,17.21915703,31.20836417,9.376170963,28,10,19.62,20,15,25,5.476823897,775.58,756.3,756.3,yes,yes,2,2,15.8113883,15.8113883,0
p01_1050_tsplib0_NORMALIZED,100,50,43.93176527,2.236067977,24.02347639,24.86931688,17.21915703,31.20836417,9.376170963,46,11,30.12,30.5,21,40.75,10.87315961,1033.25,1023.06,1023.06,yes,yes,7,7,32.44996148,32.44996148,0
p01_1090_tsplib0_NORMALIZED,100,50,43.93176527,2.236067977,24.02347639,24.86931688,17.21915703,31.20836417,9.376170963,82,12,51.1,52,32.25,72.5,21.78829961,1681.44,1509.18,1509.18,yes,yes,16,16,39.40812099,39.40812099,0
p01_10_NORMALIZED,100,50,68.62215386,10.29563014,40.21870007,40.18078292,27.09015357,52.46665202,14.95981833,50,13,34.28,35.5,25.25,44.75,11.41234419,1767.79,1733.16,1733.16,yes,yes,3,3,20.51828453,20.51828453,0
p01_110_tsplib0_NORMALIZED,100,50,43.93176527,2.236067977,24.02347639,24.86931688,17.21915703,31.20836417,9.376170963,8,0,4.86,5,3,7,2.576897359,459.5,451.53,451.53,no,no,0,0,0,0,1
p01_11_NORMALIZED,100,50,63.65532185,3.605551275,36.99035439,40.06795212,28.6131009,47.58816078,13.87565068,48,12,29.9,30,20.25,39.75,11.10360302,1498.78,1472.57,1472.57,yes,yes,3,3,43.13930922,43.13930922,0
p01_12_NORMALIZED,100,50,67.2086304,7.280109889,42.05643078,44.09186587,33.58379459,50.86020844,13.96483549,50,13,34.66,36,28.25,42.75,10.34139256,1872.03,1835.05,1835.05,yes,yes,5,5,53.26349594,53.26349594,0
p01_13_NORMALIZED,100,50,64.35060217,7.071067812,36.9801079,39.26668921,26.38127925,48.22337044,14.79701387,49,13,30.44,31,20,40,11.15913975,1544.96,1511.1,1511.1,yes,yes,4,4,49.04079934,49.04079934,0
p01_14_NORMALIZED,100,50,69.3108938,15.29705854,42.88749731,44.07894679,35.60858289,50.39167572,13.33726263,50,13,30.9,34.5,18,42.75,12.3616342,1713.85,1703.62,1703.62,yes,yes,8,8,35.90264614,35.90264614,0
p01_15_NORMALIZED,100,50,67.89698079,4.472135955,33.17839367,33.99994911,22.38856109,46.37578233,14.91020435,50,13,32.2,31.5,23,43,10.96904736,1433.69,1419.44,1419.44,yes,yes,1,1,24.35159132,24.35159132,0
p01_16_NORMALIZED,100,50,65.7951366,12.04159458,40.97096705,41.14606507,32.43677324,48.66183563,12.34827351,50,15,34.1,34.5,28,41,9.287087811,1848.86,1766.21,1766.21,yes,yes,3,3,41.18252056,41.18252056,0
p01_17_NORMALIZED,100,50,62.62587325,4,38.29846844,42.14352234,26.78098928,49.8794184,14.4612349,50,12,29.94,29,22,40,10.50982398,1539.36,1502.1,1502.1,yes,yes,4,4,44.94441011,44.94441011,0
p01_18_NORMALIZED,100,50,67.17886572,4.123105626,37.6004747,38.97472173,24.43616626,49.67141863,15.33245912,50,12,31.2,31,24.25,39.5,9.779570543,1596.76,1561.95,1561.95,yes,yes,9,9,47.63402146,47.63402146,0
p01_19_NORMALIZED,100,50,62.62587325,3.16227766,39.14826143,42.58499464,29.25416551,48.9794724,14.96307546,48,13,30.02,30.5,23.25,38,10.00897597,1608.32,1573.55,1573.55,yes,yes,4,4,41.19465985,41.19465985,0
p01_1_NORMALIZED,100,50,68.62215386,6.08276253,41.32403053,43.83491722,31.41895483,49.20615447,14.36956856,50,12,30.12,29,21.25,40.25,10.5861041,1690.42,1668.69,1668.69,yes,yes,5,5,43.84062043,43.84062043,0
p01_20_NORMALIZED,100,50,66.48308055,1,33.75980605,36.91178362,22.30283484,43.6690485,15.48662312,49,12,30.56,27.5,21.25,40,10.95656881,1471.17,1428.7,1428.7,yes,yes,7,7,48.33218389,48.33218389,0
p01_21_NORMALIZED,100,50,69.29646456,8.544003745,37.77216754,38.19685627,25.00484504,49.32996138,16.19207706,50,13,29.5,25.5,21,40,11.44071676,1545.97,1520.99,1520.99,yes,yes,2,2,41.88078318,41.88078318,0
