initial_name,capacity,number_of_nodes,highest_dist,lowest_dist,mean_dist,median_dist,25th_dist,75th_dist,sd_dist,highest_demand,lowest_demand,mean_demand,median_demand,25th_demand,75th_demand,sd_demand,original_objective,10x_split_objective,rounded_split_objective,split_in_10x,split_in_rounded,num_of_10x_splits,num_of_rounded_splits
p01_1,160,50,68.62215386,6.08276253,41.32403053,43.83491722,31.41895483,49.20615447,14.36956856,80,20,48.94,47.5,35.25,65,16.90492236,1727.34,1687.42,1690.24,yes,yes,4,5
p01_10,160,50,68.62215386,10.29563014,40.21870007,40.18078292,27.09015357,52.46665202,14.95981833,80,21,55.48,57.5,41.5,71.75,18.22442317,1836.38,1803.56,1785.77,yes,yes,5,4
p01_11,160,50,63.65532185,3.605551275,36.99035439,40.06795212,28.6131009,47.58816078,13.87565068,78,20,48.58,49,33.25,63.75,17.78661294,1519.28,1485.75,1481.97,yes,yes,6,4
p01_12,160,50,67.2086304,7.280109889,42.05643078,44.09186587,33.58379459,50.86020844,13.96483549,80,22,56.14,59,46.25,69.5,16.45722941,1921.19,1856.2,1860.75,yes,yes,5,5
p01_13,160,50,64.35060217,7.071067812,36.9801079,39.26668921,26.38127925,48.22337044,14.79701387,79,21,49.5,50,32.25,65,17.76879287,1578.97,1532.1,1534.12,yes,yes,6,7
p01_14,160,50,69.3108938,15.29705854,42.88749731,44.07894679,35.60858289,50.39167572,13.33726263,80,21,50.12,56,30,68.75,19.66686554,1743.65,1708.8,1708.29,yes,yes,6,5
p01_15,160,50,67.89698079,4.472135955,33.17839367,33.99994911,22.38856109,46.37578233,14.91020435,80,22,52.12,51,37,69,17.60527194,1485.13,1430.5,1418.58,yes,yes,5,7
p01_16,160,50,65.7951366,12.04159458,40.97096705,41.14606507,32.43677324,48.66183563,12.34827351,80,25,55.24,55.5,46,66,14.72489049,1893.02,1841.33,1818.5,yes,yes,7,9
p01_17,160,50,62.62587325,4,38.29846844,42.14352234,26.78098928,49.8794184,14.4612349,80,20,48.64,47,36,64.75,16.84251763,1567.63,1524.08,1523.92,yes,yes,8,7
p01_18,160,50,67.17886572,4.123105626,37.6004747,38.97472173,24.43616626,49.67141863,15.33245912,80,20,50.56,50,39.25,63.25,15.6194238,1619.23,1574.33,1580.49,yes,yes,9,4
p01_19,160,50,62.62587325,3.16227766,39.14826143,42.58499464,29.25416551,48.9794724,14.96307546,78,22,48.66,49,37.5,61,15.93939773,1607.05,1579.09,1565.46,yes,yes,8,5
p01_2,160,50,62.93647591,5,36.44389894,38.15815265,24.23834019,47.29670671,14.38548677,80,20,48.24,45,36,64,17.03239267,1454.2,1429.36,1423.44,yes,yes,3,3
p01_20,160,50,66.48308055,1,33.75980605,36.91178362,22.30283484,43.6690485,15.48662312,79,20,49.56,45,35.25,65,17.45183085,1478.51,1446.77,1441.24,yes,yes,9,10
p01_21,160,50,69.29646456,8.544003745,37.77216754,38.19685627,25.00484504,49.32996138,16.19207706,80,21,47.94,41.5,34,65,18.30563848,1597.08,1554.52,1545.8,yes,yes,6,6
p01_22,160,50,69.29646456,11.04536102,39.38721969,41.3146583,29.39445173,49.89455526,14.65902198,80,20,49.14,50,32.5,66,17.19768589,1667.61,1620.4,1612.94,yes,yes,9,7
p01_23,160,50,62.22539674,2,40.74452577,43.48912589,34.20729059,48.40161379,13.30051202,78,20,46.18,46,36.25,53.75,15.02090543,1576.85,1559.54,1567.56,yes,yes,4,5
p01_24,160,50,67.94115101,5,36.82654919,38.29587232,27.92764401,48.61128954,15.81914267,80,23,54.96,56.5,46.25,69,16.58186962,1723.09,1680.76,1674.08,yes,yes,7,13
p01_25,160,50,67.2086304,6.708203932,42.28510866,45.10556829,32.34548972,55.10090345,15.94269694,79,21,51.8,54,38,66,17.05520448,1814.57,1772.12,1773.9,yes,yes,5,7
p01_26,160,50,59.81638571,2.236067977,38.13029089,41.64731803,26.10073338,49.84380572,14.66631912,80,20,47.92,47,32,62.5,18.70383918,1589.07,1561.86,1592.8,yes,yes,3,4
p01_27,160,50,66.48308055,7.211102551,36.27319678,37.99739202,26.36234133,46.38901531,14.69133061,80,21,48.72,46.5,32,66.75,18.29321186,1598.71,1561.6,1558.15,yes,yes,7,5
p01_28,160,50,67.94115101,1.414213562,40.66353765,41.10960958,33.58418689,50.20743966,15.03185636,80,22,48.9,48.5,32,63.75,17.60482888,1631.32,1600.34,1595.77,yes,yes,7,5
p01_29,160,50,65.19202405,7.211102551,37.65530436,38.70429341,28.19567761,47.79608206,15.0538385,78,20,51.34,50,38.25,65,16.66686533,1643.16,1598.77,1587.9,yes,yes,7,9
